Breed,Age (Years),Weight (kg),Color,Gender,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking
labrador retriever,9,57,Bicolor,Male,10,12,24.5,24.5,80.0,70.0,22.5,22.5,65.0,55.0,5,5,4,2,2,1,5,5,3,5,5,3
french bulldog,12,39,Spotted,Male,10,12,13.0,13.0,28.0,26.0,11.0,11.0,20.0,18.0,5,4,3,1,3,1,5,5,3,4,3,1
french bulldog,9,8,Black and Tan,Female,10,12,13.0,13.0,28.0,26.0,11.0,11.0,20.0,18.0,5,4,3,1,3,1,5,5,3,4,3,1
bull terrier,7,54,Red,Female,12,13,22.0,22.0,70.0,70.0,21.0,21.0,50.0,50.0,3,1,3,2,1,1,4,4,3,3,4,3
boxer,1,47,Black,Female,10,12,25.0,25.0,80.0,65.0,23.0,23.0,65.0,50.0,5,3,2,2,3,1,4,4,4,4,4,3
cocker spaniel,13,5,Brindle,Male,10,14,15.5,15.5,30.0,25.0,14.5,14.5,25.0,20.0,5,5,3,4,2,1,4,3,3,4,4,3
shetland sheepdog,1,11,Cream,Female,12,14,16.0,16.0,25.0,25.0,13.0,13.0,15.0,15.0,5,5,3,3,1,1,2,5,5,5,4,5
whippet,3,38,Black and Tan,Female,12,15,22.0,22.0,40.0,40.0,19.0,19.0,25.0,25.0,5,5,2,1,1,1,3,4,3,3,4,1
havanese,13,26,Tan,Female,14,16,11.5,11.5,13.0,13.0,8.5,8.5,7.0,7.0,5,5,2,3,1,1,5,5,3,4,3,4
beagle,3,19,Black and Tan,Female,10,15,16.0,15.0,20.0,30.0,14.0,13.0,15.0,20.0,5,5,3,2,1,1,3,4,2,3,4,4
maltese,2,57,Spotted,Male,12,15,9.0,9.0,8.8,8.8,7.0,7.0,6.6,6.6,3,3,1,4,1,1,3,3,4,3,3,3
maltese,12,27,White,Female,12,15,9.0,9.0,8.8,8.8,7.0,7.0,6.6,6.6,3,3,1,4,1,1,3,3,4,3,3,3
siberian husky,10,32,Brindle,Male,12,14,23.5,23.5,60.0,50.0,21.0,21.0,45.0,35.0,5,5,4,2,1,1,5,5,1,3,5,5
bloodhound,7,54,Brindle,Female,10,12,27.0,27.0,110.0,100.0,25.0,25.0,90.0,80.0,3,3,3,2,5,1,3,3,2,4,3,5
bull terrier,2,35,Blue,Male,12,13,22.0,22.0,70.0,70.0,21.0,21.0,50.0,50.0,3,1,3,2,1,1,4,4,3,3,4,3
havanese,13,44,White,Male,14,16,11.5,11.5,13.0,13.0,8.5,8.5,7.0,7.0,5,5,2,3,1,1,5,5,3,4,3,4
irish setter,11,51,Bicolor,Female,12,15,27.0,27.0,70.0,60.0,27.0,27.0,70.0,60.0,5,5,3,3,2,1,5,5,3,4,5,3
maltese,12,28,Black,Male,12,15,9.0,9.0,8.8,8.8,7.0,7.0,6.6,6.6,3,3,1,4,1,1,3,3,4,3,3,3
doberman pinscher,13,29,Black and Tan,Female,10,12,28.0,28.0,100.0,90.0,26.0,26.0,75.0,60.0,5,3,4,1,2,1,4,4,5,5,5,3
vizsla,9,48,Red,Female,12,14,24.0,24.0,60.0,55.0,22.0,22.0,55.0,44.0,5,4,3,2,2,1,4,5,3,5,5,3
bernese mountain dog,12,18,Gray,Male,7,10,27.5,27.5,115.0,95.0,25.0,25.0,80.0,70.0,5,5,5,3,3,1,4,4,3,4,4,3
